id,Name,Artists,,started,Address,Notes,Commisioned,District,transform,images,location
m0001,,"HOXXOH,BRIAN LACEY","HOXXOH,BRIAN LACEY",9/21/2017,"22298 West 7 Mile Road",,,1,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0001,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0001.jpg,
m0002,,unknown,unknown,1/21/2013,"8250 West McNichols Road, Detroit, MI",,,1,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0002,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0002.jpg,
m0003,,OUIZI,OUIZI,9/21/2017,"18901 Grand River Avenue, Detroit, MI",,,1,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0003,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0003.jpg,
m0004,,"SHEEFY MCFLY,PHIL SIMPSON","SHEEFY MCFLY,PHIL SIMPSON",9/21/2017,"19655 Grand River Ave, Detroit, MI",,,1,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0004,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0004.jpg,
m0005,,SUMMER IN THE CITY,SUMMER IN THE CITY,9/21/2017,"16857 Stahelin Ave, Detroit, MI",,,1,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0005,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0005.jpg,
m0006,,SUMMER IN THE CITY,SUMMER IN THE CITY,9/21/2017,"16859 STAHELIN AVE, DETROIT, MI",,,1,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0006,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0006.jpg,
m0007,,ELTON DURAN,ELTON DURAN,9/21/2017,"19120 Grand River Ave, Detroit, MI",,,1,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0007,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0007.jpg,
m0008,,RACHEL WALKER,RACHEL WALKER,8/22/2017,"18551 Grand River Ave, Detroit, MI",,,1,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0008,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0008.jpg,
m0009,,ELTON DURAN,ELTON DURAN,9/21/2017,"19614 Grand River Ave, Detroit, MI",,,1,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0009,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0009.jpg,
m0010,,unknown,unknown,1/21/2013,"19800 Grand River Avenue, Detroit, MI",,,1,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0010,https://raw.githubusercontent.com/cpenalosa/detroitmurals/images/m0010.jpg,
