id,Name,Artists,started,Address,Notes,Commisioned,District,images,location
m0001,,"HOXXOH ] , [ BRIAN LACEY",9/21/2017,"22298 West 7 Mile Road, Detroit, MI",,,1,https://www.dropbox.com/s/p0tnz0cjcs421mh/m0001.jpg?dl=0,
m0002,,unknown,1/21/2013,"8250 West McNichols Road, Detroit, MI",,,1,https://www.dropbox.com/s/4r2k1gln2999sxu/m0002.jpg?dl=0,
m0003,,OUIZI,9/21/2017,"18901 Grand River Avenue, Detroit, MI",,,1,https://www.dropbox.com/s/dpri4a2w2vc0g3p/m0003.jpg?dl=0,
m0004,,"SHEEFY MCFLY ] , [ PHIL SIMPSON",9/21/2017,"19655 Grand River Ave, Detroit, MI",,,1,https://www.dropbox.com/s/f0qb0adnd1ob1ei/m0004.jpg?dl=0,
m0005,,SUMMER IN THE CITY,9/21/2017,"16857 Stahelin Ave, Detroit, MI",,,1,https://www.dropbox.com/s/ga7zw0rjgjn1m0b/m0005.jpg?dl=0,
m0006,,SUMMER IN THE CITY,9/21/2017,"16859 STAHELIN AVE, DETROIT, MI",,,1,https://www.dropbox.com/s/bfpmkk93fqr6wqk/m0006.jpg?dl=0,
m0007,,ELTON DURAN,9/21/2017,"19120 Grand River Ave, Detroit, MI",,,1,https://www.dropbox.com/s/2votgyf50eol2xi/m0007.jpg?dl=0,
m0008,,RACHEL WALKER,8/22/2017,"18551 Grand River Ave, Detroit, MI",,,1,https://www.dropbox.com/s/hwxx1t74r8bvsk3/m0008.jpg?dl=0,
m0009,,ELTON DURAN,9/21/2017,"19614 Grand River Ave, Detroit, MI",,,1,https://www.dropbox.com/s/zblj4sb90uwx59k/m0009.jpg?dl=0,
m0010,,unknown,1/21/2013,"19800 Grand River Avenue, Detroit, MI",,,1,https://www.dropbox.com/s/r84twfy4w7tu0xf/m0010.jpg?dl=0,
m0011,,"GR] , [MONT ROSEDALE YOUTH",1/21/2013,"15303 Plainview Ave, Detroit, MI",,,1,https://www.dropbox.com/s/dbearswj9qb0xw4/m0011.jpg?dl=0,
m0012,,unknown,1/21/2013,"15000 Southfield Freeway, Detroit, MI",,,1,https://www.dropbox.com/s/td0b0jriw4hzo61/m0012.jpg?dl=0,
m0013,,SYDNEY G. JAMES,9/21/2017,"18986 Schaefer Highway, Detroit, MI",,,2,https://www.dropbox.com/s/8f52hvrxrm8dwg6/m0013.jpg?dl=0,
m0014,,CURTIS LEWIS,7/21/2000,"10010 W Seven Mile Rd, Detroit, MI",,,1,https://www.dropbox.com/s/6uxsytsjlh4lte0/m0014.jpg?dl=0,
m0015,,JESSE KASSEL,9/21/2017,"18663 Livernois Ave, Detroit, MI","PAINTED BY: Marlobro, Leah Rutt, , Volunteers",,1,https://www.dropbox.com/s/izyd0162un9u4o1/m0015.jpg?dl=0,
m0016,,JESSE KASSEL,9/1/2017,"18663 LIVERNOIS AVE, DETROIT, MI","Painted by Marlobro, Leah Rutt, , Volunteers",,1,https://www.dropbox.com/s/ondonxqv1cst5kw/m0016.jpg?dl=0,
m0017,,JESSICA KRCMARIK,9/22/2017,"18551 Grand River Ave, Detroit, MI",,,1,https://www.dropbox.com/s/6bp3ujf44swq96p/m0017.jpg?dl=0,
m0018,,HUBERT MASSEY,9/22/2017,"14801 Westwood Street, Detroit, MI",,,1,https://www.dropbox.com/s/rl5qvibxr69sp9q/m0018.jpg?dl=0,
m0026,,WC BEVAN,10/27/2017,"3363 Michigan Ave, Detroit, MI",,,6,https://www.dropbox.com/s/z9qlx4bjkvogvdh/m0026.jpg?dl=0,
m0027,,unknown,11/22/2017,"2917 Gratiot, Detroit, MI",,,5,https://www.dropbox.com/s/zxw2cwls2um3v9w/m0027.jpg?dl=0,
m0028,,PAT PERRY,9/22/2017,"2939 Gratiot, Detroit, MI",,,,https://www.dropbox.com/s/idzut0l492ttwf1/m0028.jpg?dl=0,
m0029,BLACK LIVES MATTER,RENDA WRITER,4/22/2017,"66 East Forest Ave, Detroit, MI",,,,https://www.dropbox.com/s/ggnmg5rnard482d/m0029.jpg?dl=0,
m0030,,unknown,8/22/2013,"2003 Brooklyn Street, Detroit, MI",,,,https://www.dropbox.com/s/ja8sonxpu8ssulc/m0030.jpg?dl=0,
m0032,,HENSE,10/22/2014,"1555 Broadway Ave., Detroit, MI",,,,https://www.dropbox.com/s/a8wdz751wrdrpf9/m0032.jpg?dl=0,
m0033,,"WYL] , [",10/13/1997,"10 Witherell Street, Detroit,MI",,,,https://www.dropbox.com/s/kpey73iu6emh204/m0033.jpg?dl=0,
m0034,,SUMMER IN THE CITY,9/22/2016,"350 Madison Street, Detroit, MI",behind the building,,,https://www.dropbox.com/s/tsudq3w0fu8hl8u/m0034.jpg?dl=0,
m0036,,"CARL OXLEY III ] , [ MARK SENGBUSCH",7/22/2007,"3445 Joseph Campau Ave
Detroit, MI 48207",Painted by Summer in the City,,,https://www.dropbox.com/s/1e9xu4owq8hw7k4/m0036.jpg?dl=0,
m0037,,SINTEX,1/22/2013,"8100 Grand River, Detroit, MI",,,,https://www.dropbox.com/s/6to5gi2w4x46ctt/m0037.jpg?dl=0,
m0038,,SAM PHILLIPS,1/22/2013,"6541 Gratiot, Detroit, MI",,,4,https://www.dropbox.com/s/fzo7ewlyveyf3yv/m0038.jpg?dl=0,
m0039,,"JONNY ALEX] , [ER",12/22/2017,"12355 Gratiot Ave, Detroit, MI",,,,https://www.dropbox.com/s/pxg36yapy9wjaiu/m0039.jpg?dl=0,
m0040,,"PHIL SIMPSON ] , [ TONY RAVE",9/22/2017,"13560 East McNichols Road, Detroit, MI",,,4,https://www.dropbox.com/s/vxhsoxnb750po8v/m0040.jpg?dl=0,
m0041,,CARL NEILBOCK,1/22/2013,"2264 Wilkins Street, Detroit, MI",,,,https://www.dropbox.com/s/i0m4fduu4v6a7ws/m0041.jpg?dl=0,
m0042,,CURTIS LEWIS,10/22/1985,"9980 Gratiot Avenue, Detroit, MI",,,,https://www.dropbox.com/s/ew3oapijfyjnia3/m0042.jpg?dl=0,
m0043,,unknown,7/22/2017,"5931 Michigan Ave, Detroit, MI",,,,https://www.dropbox.com/s/vxmeki819j9n8vb/m0043.jpg?dl=0,
m0044,,"SEAN LUGO ] , [ SAVAGE HABIT",7/22/2017,"3434 Russell Street, Detroit, MI",,,,https://www.dropbox.com/s/9i303ihugtuyg6x/m0044.jpg?dl=0,
m0045,,HUSH,9/22/2014,"154 E Grand Ave, Detroit, MI",located in the Belt,,,https://www.dropbox.com/s/ek5si3azs726qdx/m0045.jpg?dl=0,"-83.046451, 42.334557"
